"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"RCS06034K12FKEA","Vishay Dale","541-RCS06034K12FKEACT-ND","","R8","Cut Tape (CT)","Active","1","0.13000","$0.13","4982","23 Weeks","RES SMD 4.12K OHM 1% 1/4W 0603","ROHS3 Compliant","Lead free","Not Available"
"DMG2305UX-13","Diodes Incorporated","DMG2305UX-13DICT-ND","","Q1","Cut Tape (CT)","Active","1","0.37000","$0.37","783528","30 Weeks","MOSFET P-CH 20V 4.2A SOT23","ROHS3 Compliant","Lead free","REACH Unaffected"
"SDM2U20SD3-7","Diodes Incorporated","SDM2U20SD3-7DICT-ND","","D1","Cut Tape (CT)","Active","1","0.43000","$0.43","5899","15 Weeks","DIODE SCHOTTKY 20V 2A SOD323","ROHS3 Compliant","Lead free","REACH Unaffected"
"RQ73C2B143KBTD","TE Connectivity Passive Product","A139919CT-ND","","R1","Cut Tape (CT)","Active","1","0.87000","$0.87","9729","17 Weeks","RES 143 KOHMS 0.1% 0.4W 1206","RoHS Compliant","Lead free","Not Available"
"CL31A476MPHNNNE","Samsung Electro-Mechanics","1276-3063-1-ND","","C2","Cut Tape (CT)","Active","1","0.48000","$0.48","455836","22 Weeks","CAP CER 47UF 10V X5R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"LTC1730ES8-4.2#PBF","Analog Devices Inc.","LTC1730ES8-4.2#PBF-ND","","U2","Tube","Active","1","4.66000","$4.66","197","8 Weeks","IC BATT CHG LI-ION 1CELL 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"MIC37303YME-TR","Microchip Technology","MIC37303YME-CT-ND","","I1","Cut Tape (CT)","Active","1","1.57000","$1.57","3487","25 Weeks","IC REG LINEAR POS ADJ 3A 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"RE1206FRE07100KL","Yageo","13-RE1206FRE07100KLCT-ND","","R2, R3","Cut Tape (CT)","Active","2","0.10000","$0.20","9508","24 Weeks","RES SMD 100K OHM 1% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CGJ3E2X7R1H473K080AA","TDK Corporation","445-8120-1-ND","","C4","Cut Tape (CT)","Not For New Designs","1","0.20000","$0.20","7263","28 Weeks","CAP CER 0.047UF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"LMK107SD223KA-T","Taiyo Yuden","587-1102-1-ND","","C3","Cut Tape (CT)","Active","1","0.32000","$0.32","4088","17 Weeks","CAP CER 0.022UF 10V 0603","ROHS3 Compliant","Lead free","Not Available"
"060330160104KXT","Knowles Syfer","1608-1463-1-ND","","C5","Cut Tape (CT)","Active","1","1.14000","$1.14","43020","8 Weeks","CAP CER","Not Available","Not Available","Not Available"
"CC0603KPX7R8BB105","Yageo","13-CC0603KPX7R8BB105CT-ND","","C6","Cut Tape (CT)","Active","1","0.26000","$0.26","56137","32 Weeks","MLCC CAP","ROHS3 Compliant","Not Available","REACH Unaffected"
"CRGH0805F10K","TE Connectivity Passive Product","A126417CT-ND","","R5","Cut Tape (CT)","Active","1","0.10000","$0.10","71258","18 Weeks","RES SMD 10K OHM 1% 1/3W 0805","RoHS Compliant","Lead free","Not Available"
"CRGS0603J4R7","TE Connectivity AMP Connectors","A129230CT-ND","","R6","Cut Tape (CT)","Active","1","0.35000","$0.35","6040","18 Weeks","RES SMD 4.7 OHM 5% 1/4W 0603","RoHS Compliant","Lead free","Not Available"
"ERJ-3BWJR050V","Panasonic Electronic Components","P17490CT-ND","","R9","Cut Tape (CT)","Active","1","0.42000","$0.42","8218","22 Weeks","RES 0.05 OHM 5% 1/3W 0603","ROHS3 Compliant","Lead free","Not Available"
"CRGH0805J1K0","TE Connectivity Passive Product","A126435CT-ND","","R4, R7, R10, R11","Cut Tape (CT)","Active","4","0.10000","$0.40","35103","18 Weeks","RES SMD 1K OHM 5% 1/3W 0805","RoHS Compliant","Lead free","Not Available"
"ESP32-WROOM-32E (4MB)","Espressif Systems","1965-ESP32-WROOM-32E(4MB)CT-ND","","U1","Cut Tape (CT)","Active","1","2.50000","$2.50","9833","8 Weeks","RX TXRX MOD WIFI TRACE ANT SMD","Not Available","Not Available","Not Available"
"CGA5L2X7R2A105K160AE","TDK Corporation","445-8801-1-ND","","C1","Cut Tape (CT)","Active","1","0.85000","$0.85","31785","12 Weeks","CAP CER 1UF 100V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
